,구별,2018년,2019년,2020년,2021년
0,송파구,28,29,32,33
1,강남구,70,74,82,87
2,서초구,45,46,47,48
3,종로구,30,32,34,38
4,중구,48,51,54,55
5,용산구,15,16,19,20
6,성동구,8,10,11,11
7,마포구,28,30,30,31
8,광진구,13,15,16,17
9,동대문구,8,8,8,9
10,강동구,9,11,13,15
11,중랑구,6,6,8,8
12,성북구,11,13,13,14
13,강북구,5,5,5,5
14,노원구,9,11,12,13
15,양천구,13,14,15,17
16,은평구,7,8,8,8
17,서대문구,17,18,19,20
18,강서구,14,15,16,20
19,구로구,10,10,11,11
20,금천구,10,10,11,11
21,영등포구,30,33,34,38
22,동작구,7,10,10,10
23,관악구,9,11,11,11
24,도봉구,1,2,2,3
