,기간,구별,인구,세대,세대당인구,연도
114,2019_3,서대문구,324089,140007,2.21,2019
115,2019_3,마포구,385605,174181,2.15,2019
116,2019_3,양천구,463931,177339,2.59,2019
117,2019_3,강서구,600240,262108,2.27,2019
118,2019_3,구로구,439850,175844,2.31,2019
119,2019_3,금천구,252868,110072,2.12,2019
120,2019_3,영등포구,402478,174309,2.11,2019
121,2019_3,동작구,410487,180841,2.2,2019
122,2019_3,관악구,519953,268226,1.87,2019
123,2019_3,서초구,435258,173215,2.49,2019
124,2019_3,강남구,549043,232115,2.34,2019
125,2019_3,송파구,684338,278340,2.43,2019
126,2019_3,강동구,430522,178969,2.38,2019
127,2019_4,합계,10010983,4327605,2.25,2019
128,2019_4,종로구,161869,73947,2.05,2019
129,2019_4,중구,136488,62739,2.01,2019
130,2019_4,용산구,245185,110126,2.08,2019
131,2019_4,성동구,308979,135838,2.22,2019
132,2019_4,광진구,366972,164428,2.14,2019
133,2019_4,동대문구,363023,164191,2.11,2019
134,2019_4,중랑구,402024,181579,2.19,2019
135,2019_4,성북구,454744,192592,2.3,2019
136,2019_4,강북구,317695,144277,2.18,2019
137,2019_4,도봉구,335631,138508,2.41,2019
138,2019_4,노원구,537303,216966,2.46,2019
139,2019_4,은평구,484546,207681,2.31,2019
140,2019_4,서대문구,323171,140157,2.21,2019
141,2019_4,마포구,385925,175023,2.14,2019
142,2019_4,양천구,462285,177256,2.58,2019
143,2019_4,강서구,598273,262708,2.25,2019
144,2019_4,구로구,439371,176568,2.3,2019
145,2019_4,금천구,251820,110622,2.1,2019
146,2019_4,영등포구,400986,174806,2.1,2019
147,2019_4,동작구,408912,180753,2.19,2019
148,2019_4,관악구,517334,268559,1.86,2019
149,2019_4,서초구,435107,173199,2.49,2019
150,2019_4,강남구,550209,232981,2.34,2019
151,2019_4,송파구,682741,278711,2.43,2019
152,2019_4,강동구,440390,183390,2.38,2019
153,2020_1,합계,10013781,4354006,2.24,2020
154,2020_1,종로구,161984,74151,2.04,2020
155,2020_1,중구,136469,63045,2.0,2020
156,2020_1,용산구,246165,110895,2.07,2020
157,2020_1,성동구,307193,135643,2.2,2020
158,2020_1,광진구,365990,165287,2.12,2020
159,2020_1,동대문구,362793,165279,2.09,2020
160,2020_1,중랑구,400678,182220,2.17,2020
161,2020_1,성북구,454532,193801,2.28,2020
162,2020_1,강북구,316750,144805,2.16,2020
163,2020_1,도봉구,333495,138595,2.39,2020
164,2020_1,노원구,535495,217148,2.45,2020
165,2020_1,은평구,482509,208209,2.3,2020
166,2020_1,서대문구,325875,142109,2.2,2020
167,2020_1,마포구,386086,176133,2.13,2020
168,2020_1,양천구,460532,177436,2.57,2020
169,2020_1,강서구,595703,263645,2.24,2020
170,2020_1,구로구,438308,177275,2.29,2020
171,2020_1,금천구,251370,111542,2.09,2020
172,2020_1,영등포구,404766,177743,2.09,2020
173,2020_1,동작구,407802,181761,2.17,2020
174,2020_1,관악구,516662,270760,1.84,2020
175,2020_1,서초구,434801,173580,2.48,2020
176,2020_1,강남구,549898,233624,2.33,2020
177,2020_1,송파구,680883,279301,2.41,2020
178,2020_1,강동구,457042,190019,2.38,2020
179,2020_2,합계,9985652,4384076,2.22,2020
180,2020_2,종로구,160520,74497,2.02,2020
181,2020_2,중구,136030,63354,1.99,2020
182,2020_2,용산구,245362,111586,2.06,2020
183,2020_2,성동구,304851,135937,2.19,2020
184,2020_2,광진구,363925,166307,2.1,2020
185,2020_2,동대문구,360380,166451,2.08,2020
186,2020_2,중랑구,399415,183310,2.15,2020
187,2020_2,성북구,452290,195064,2.26,2020
188,2020_2,강북구,315395,145559,2.14,2020
189,2020_2,도봉구,331744,138966,2.37,2020
190,2020_2,노원구,533041,217897,2.43,2020
191,2020_2,은평구,483938,210664,2.28,2020
192,2020_2,서대문구,324224,143323,2.18,2020
193,2020_2,마포구,384957,177544,2.11,2020
194,2020_2,양천구,462034,179677,2.55,2020
195,2020_2,강서구,593203,265252,2.21,2020
196,2020_2,구로구,436707,178367,2.27,2020
197,2020_2,금천구,250554,112570,2.06,2020
198,2020_2,영등포구,405154,179787,2.08,2020
199,2020_2,동작구,406776,183537,2.15,2020
200,2020_2,관악구,516318,273715,1.83,2020
201,2020_2,서초구,433062,173998,2.47,2020
202,2020_2,강남구,546158,233484,2.32,2020
203,2020_2,송파구,678067,280135,2.4,2020
204,2020_2,강동구,461547,193095,2.37,2020
205,2020_3,합계,9953009,4405833,2.2,2020
206,2020_3,종로구,159842,74861,2.0,2020
207,2020_3,중구,135321,63594,1.98,2020
208,2020_3,용산구,244953,112451,2.04,2020
209,2020_3,성동구,302695,136096,2.17,2020
