,구별,평균,총점
0,강동구,61,0.16
1,중구,186,0.48
2,용산구,73,0.19
3,성동구,56,0.14
4,광진구,54,0.14
5,동대문구,56,0.14
6,중랑구,32,0.08
7,성북구,57,0.15
8,강북구,28,0.07
9,도봉구,28,0.07
10,노원구,57,0.15
11,종로구,121,0.31
12,은평구,40,0.1
13,마포구,91,0.23
14,양천구,62,0.16
15,강서구,70,0.18
16,구로구,66,0.17
17,금천구,54,0.14
18,영등포구,136,0.35
19,동작구,49,0.13
20,관악구,44,0.11
21,서초구,186,0.48
22,강남구,311,0.8
23,서대문구,51,0.13
24,송파구,140,0.36
