,기간,구별,학교수,학급수,계,남자,여자,계,남자,여자,계,남자,여자,졸업자수,진학자수,입학자수,교지면적,건물면적,교실수
51,2020,중구,12,243,"4,990","2,468","2,522",393,63,330,72,33,39,878,876,901,125,98,386
52,2020,용산구,15,351,"6,870","3,498","3,372",568,61,507,66,25,41,"1,301","1,299","1,087",195,117,512
53,2020,성동구,21,566,"10,992","5,590","5,402",919,117,802,109,47,62,"1,992","1,992","1,926",195,236,853
54,2020,광진구,22,639,"14,257","7,322","6,935",998,144,854,112,52,60,"2,615","2,611","2,250",217,206,904
55,2020,동대문구,21,603,"13,157","6,809","6,348",932,124,808,117,57,60,"2,333","2,332","2,127",273,214,900
56,2020,중랑구,23,696,"14,554","7,440","7,114","1,067",173,894,112,46,66,"2,486","2,485","2,377",272,276,987
57,2020,성북구,29,888,"20,086","10,255","9,831","1,359",217,"1,142",153,61,92,"3,717","3,713","3,145",332,302,"1,236"
58,2020,강북구,14,452,"9,913","5,066","4,847",703,129,574,79,33,46,"1,870","1,870","1,528",179,161,623
59,2020,도봉구,23,689,"14,540","7,474","7,066","1,012",199,813,108,54,54,"2,822","2,822","2,247",279,221,996
60,2020,노원구,42,"1,201","25,841","13,297","12,544","1,751",317,"1,434",223,103,120,"5,092","5,092","3,856",485,371,"1,696"
61,2020,은평구,31,921,"20,400","10,538","9,862","1,408",187,"1,221",148,61,87,"3,850","3,847","3,171",401,313,"1,274"
62,2020,서대문구,19,582,"12,988","6,582","6,406",906,119,787,101,43,58,"2,134","2,134","2,188",221,199,780
63,2020,마포구,22,655,"14,375","7,282","7,093","1,037",105,932,95,37,58,"2,761","2,760","2,193",244,215,898
64,2020,양천구,30,"1,010","23,985","12,430","11,555","1,555",182,"1,373",147,46,101,"4,785","4,783","3,518",355,292,"1,328"
65,2020,강서구,35,"1,180","26,078","13,375","12,703","1,756",235,"1,521",174,68,106,"4,512","4,512","4,327",414,347,"1,423"
66,2020,구로구,26,867,"18,180","9,220","8,960","1,336",177,"1,159",126,50,76,"3,039","3,039","3,039",327,264,"1,155"
67,2020,금천구,18,443,"8,339","4,226","4,113",693,104,589,79,30,49,"1,477","1,477","1,345",200,165,628
68,2020,영등포구,23,660,"13,537","6,884","6,653","1,039",129,910,111,38,73,"2,268","2,268","2,282",300,220,917
69,2020,동작구,21,686,"15,553","7,919","7,634","1,045",142,903,101,44,57,"2,724","2,722","2,557",259,217,898
70,2020,관악구,22,694,"14,410","7,416","6,994","1,067",139,928,105,39,66,"2,612","2,611","2,310",276,237,971
71,2020,서초구,24,880,"22,668","11,736","10,932","1,324",127,"1,197",116,33,83,"3,944","3,942","3,452",304,220,"1,039"
72,2020,강남구,33,990,"25,905","13,581","12,324","1,611",106,"1,505",148,47,101,"5,029","5,027","3,906",429,360,"1,270"
73,2020,송파구,40,"1,406","31,373","16,045","15,328","2,173",202,"1,971",184,58,126,"5,603","5,598","4,982",468,391,"1,721"
74,2020,강동구,28,990,"21,353","11,156","10,197","1,504",159,"1,345",125,44,81,"3,543","3,543","3,420",377,261,"1,194"
