기간,자치구,학교수,학급수,학생수,학생수,학생수,교원수,교원수,사무직원수,사무직원수,졸업자현황,졸업자현황,입학자현황,입학자현황,교지면적,건물면적,교실수
기간,자치구,학교수,학급수,계,남자,여자,계,여자,계,여자,졸업자수,진학자수,입학정원수,입학자수,교지면적,건물면적,교실수
2020,도봉구,5,136,"2,927","1,621","1,306",301,196,32,15,"1,151",720,"1,000","1,003",74,72,221
2020,노원구,4,125,"2,809","1,893",916,276,179,24,12,"1,066",717,947,933,54,54,198
2020,은평구,3,83,"1,886",945,941,181,117,15,11,656,430,635,635,44,39,116
2020,서대문구,1,27,651,322,329,63,52,8,3,255,181,224,222,7,13,36
2020,양천구,3,97,"2,326",809,"1,517",213,156,15,8,897,514,786,786,53,41,135
2020,강서구,3,77,"1,696",810,886,175,120,15,11,590,405,565,565,35,41,121
2020,구로구,4,132,"3,287","1,667","1,620",300,211,21,14,"1,278",919,"1,100","1,074",61,52,195
2020,금천구,1,27,571,287,284,64,51,6,3,216,153,189,189,20,17,40
2020,영등포구,6,171,"3,712","1,790","1,922",398,304,34,22,"1,419",921,"1,265","1,226",87,79,261
2020,동작구,3,90,"2,146",877,"1,269",201,136,19,9,775,528,719,719,72,46,139
2020,관악구,4,94,"2,008",984,"1,024",221,166,24,13,769,484,623,631,66,51,173
2020,서초구,5,175,"4,375","2,811","1,564",415,327,34,17,"1,615",846,"1,468","1,480",136,82,264
2020,강남구,5,177,"3,986","1,875","2,111",413,310,34,19,"1,564",808,"1,346","1,360",192,89,263
2020,송파구,9,278,"6,137","3,103","3,034",645,485,52,33,"2,356","1,467","2,153","2,083",152,127,435
2020,강동구,4,116,"2,321","1,017","1,304",245,176,23,8,845,534,820,778,61,53,190
