,기간,구별,면적,1인당면적
2,2018,서울시,168843.30,16.8
3,2018,종로구,11555.80,70.9
4,2018,중구,3132.00,23.1
5,2018,용산구,1795.60,7.3
6,2018,성동구,3102.10,9.8
7,2018,광진구,3363.00,9.1
8,2018,동대문구,1275.80,3.5
9,2018,중랑구,5206.30,12.8
10,2018,성북구,8342.40,18.6
11,2018,강북구,14346.70,44.4
12,2018,도봉구,10075.30,29.5
13,2018,노원구,14337.70,26.2
14,2018,은평구,13997.90,28.7
15,2018,서대문구,5136.10,15.9
16,2018,마포구,4439.90,11.5
17,2018,양천구,2909.80,6.2
18,2018,강서구,4329.30,7.2
19,2018,구로구,3327.70,7.6
20,2018,금천구,2206.20,8.7
21,2018,영등포구,3091.10,7.7
22,2018,동작구,4585.40,11.2
23,2018,관악구,10977.10,21.1
24,2018,서초구,16036.30,36.6
25,2018,강남구,6591.70,12
26,2018,송파구,4642.10,6.9
27,2018,강동구,3370.00,7.8

