기간,자치구,학교수,학급수,학생수,학생수,학생수,교원수,교원수,사무직원수,사무직원수,졸업자현황,졸업자현황,입학자현황,교지면적,건물면적,교실수
기간,자치구,학교수,학급수,계,남자,여자,계,여자,계,여자,졸업자수,진학자수,입학자수,교지면적,건물면적,계
2020,중구,4,59,"1,033",102,931,130,102,9,6,344,…,391,58,35,110
2020,용산구,4,93,"2,056","1,251",805,185,147,10,6,689,…,729,48,40,140
2020,성동구,10,196,"4,366","2,239","2,127",390,303,27,14,"1,624",…,"1,566",121,102,346
2020,광진구,9,234,"5,729","3,041","2,688",471,369,21,10,"2,010",…,"2,030",121,99,374
2020,동대문구,9,181,"4,033","2,212","1,821",370,277,30,15,"1,392",…,"1,446",145,101,323
2020,중랑구,11,253,"5,824","3,445","2,379",501,363,37,17,"2,061",…,"2,037",161,118,443
2020,성북구,10,235,"5,964","3,359","2,605",493,373,37,17,"2,086",…,"2,111",127,106,367
2020,강북구,8,167,"4,086","2,077","2,009",333,243,25,9,"1,435",…,"1,411",116,83,278
2020,도봉구,11,252,"5,522","2,961","2,561",517,372,33,19,"2,031",…,"1,995",133,110,423
2020,노원구,21,540,"12,625","6,346","6,279","1,037",769,69,38,"4,644",…,"4,397",291,209,830
2020,은평구,11,257,"6,271","3,295","2,976",511,376,33,15,"2,222",…,"2,251",148,107,403
2020,서대문구,7,142,"3,373","1,891","1,482",293,227,23,10,"1,202",…,"1,142",104,66,233
2020,마포구,9,215,"5,279","2,346","2,933",439,346,23,12,"1,823",…,"1,887",108,114,371
2020,양천구,16,564,"14,415","7,492","6,923","1,098",848,53,35,"5,008",…,"5,101",223,186,796
2020,강서구,16,334,"7,551","3,838","3,713",702,509,51,26,"2,606",…,"2,755",197,166,586
2020,구로구,13,330,"7,634","3,713","3,921",645,475,40,20,"2,558",…,"2,749",187,136,529
2020,금천구,7,141,"3,090","1,450","1,640",298,220,16,10,"1,076",…,"1,083",90,71,266
2020,영등포구,11,257,"5,922","3,157","2,765",513,395,35,19,"2,050",…,"2,103",139,117,444
2020,동작구,12,233,"5,573","2,834","2,739",484,370,37,14,"1,941",…,"1,979",143,108,387
2020,관악구,12,240,"5,604","2,800","2,804",508,395,37,13,"1,937",…,"1,925",178,126,431
2020,서초구,13,357,"9,218","5,746","3,472",749,614,48,23,"3,223",…,"3,264",168,127,518
2020,강남구,18,411,"11,258","6,187","5,071",861,694,60,34,"3,603",…,"4,120",235,161,657
2020,송파구,22,516,"13,082","6,830","6,252","1,046",836,75,45,"4,520",…,"4,613",308,228,898
2020,강동구,12,280,"6,852","3,661","3,191",567,442,42,22,"2,266",…,"2,551",160,125,459
