,기간,구별,면적,1인당면적
1,2020,합계,172317.39,17.39
2,2020,종로구,11402.58,71.72
3,2020,중구,3163.83,23.5
4,2020,용산구,1777.06,7.26
5,2020,성동구,3073.98,10.23
6,2020,광진구,3451.04,9.58
7,2020,동대문구,1219.25,3.42
8,2020,중랑구,4990.30,12.49
9,2020,성북구,8507.35,19.03
10,2020,강북구,14424.50,46.3
11,2020,도봉구,10160.38,31.04
12,2020,노원구,14741.81,27.97
13,2020,은평구,14365.72,29.68
14,2020,서대문구,5082.16,15.74
15,2020,마포구,4565.37,11.96
16,2020,양천구,3049.63,6.66
17,2020,강서구,4512.05,7.7
18,2020,구로구,3641.45,8.42
19,2020,금천구,2774.38,11.19
20,2020,영등포구,3009.28,7.39
21,2020,동작구,4328.74,10.78
22,2020,관악구,12431.42,24.38
23,2020,서초구,15072.56,35.13
24,2020,강남구,7768.75,14.28
25,2020,송파구,4771.42,7.08
26,2020,강동구,3362.41,7.25

