,0,1,2
0,2018,강남구,3.87
1,2018,강동구,1.73
2,2018,강북구,0.89
3,2018,강서구,0.94
4,2018,관악구,0.72
5,2018,광진구,1.2
6,2018,구로구,1.23
7,2018,금천구,0.85
8,2018,노원구,1.15
9,2018,도봉구,0.77
10,2018,동대문구,1.93
11,2018,동작구,1.26
12,2018,마포구,0.83
13,2018,서대문구,2.12
14,2018,서초구,2.24
15,2018,성동구,1.08
16,2018,성북구,1.11
17,2018,송파구,1.88
18,2018,양천구,1.17
19,2018,영등포구,1.9
20,2018,용산구,0.98
21,2018,은평구,0.82
22,2018,종로구,5.34
23,2018,중구,3.42
24,2018,중랑구,1.01
25,2019,강남구,4.19
26,2019,강동구,1.92
27,2019,강북구,0.97
28,2019,강서구,1.14
29,2019,관악구,0.78
30,2019,광진구,1.26
31,2019,구로구,1.36
32,2019,금천구,0.97
33,2019,노원구,1.25
34,2019,도봉구,0.85
35,2019,동대문구,1.88
36,2019,동작구,1.34
37,2019,마포구,0.89
38,2019,서대문구,2.48
39,2019,서초구,2.45
40,2019,성동구,1.21
41,2019,성북구,1.16
42,2019,송파구,1.99
43,2019,양천구,1.16
44,2019,영등포구,2.02
45,2019,용산구,1.1
46,2019,은평구,1.01
47,2019,종로구,5.79
48,2019,중구,3.26
49,2019,중랑구,1.1
50,2020,강남구,4.5
51,2020,강동구,1.88
52,2020,강북구,1.07
53,2020,강서구,1.32
54,2020,관악구,0.81
55,2020,광진구,1.32
56,2020,구로구,1.44
57,2020,금천구,1.05
58,2020,노원구,1.32
59,2020,도봉구,0.89
60,2020,동대문구,1.94
61,2020,동작구,1.38
62,2020,마포구,0.96
63,2020,서대문구,2.51
64,2020,서초구,2.65
65,2020,성동구,1.26
66,2020,성북구,1.26
67,2020,송파구,2.13
68,2020,양천구,1.22
69,2020,영등포구,2.08
70,2020,용산구,1.13
71,2020,은평구,1.09
72,2020,종로구,6.31
73,2020,중구,3.57
74,2020,중랑구,1.19
