,기간,구별,자동차 등록 합계
233,2019.03,강서구,203737
234,2019.03,구로구,144732
235,2019.03,금천구,87336
236,2019.03,영등포구,143149
237,2019.03,동작구,106312
238,2019.03,관악구,120968
239,2019.03,서초구,182171
240,2019.03,강남구,234626
241,2019.03,송파구,240558
242,2019.03,강동구,135335
244,2019.04,서울시,3124289
245,2019.04,종로구,50186
246,2019.04,중구,51703
247,2019.04,용산구,77140
248,2019.04,성동구,105421
249,2019.04,광진구,99760
250,2019.04,동대문구,98034
251,2019.04,중랑구,113584
252,2019.04,성북구,117767
253,2019.04,강북구,76849
254,2019.04,도봉구,97094
255,2019.04,노원구,153097
256,2019.04,은평구,130486
257,2019.04,서대문구,87621
258,2019.04,마포구,117665
259,2019.04,양천구,150329
260,2019.04,강서구,203437
261,2019.04,구로구,144401
262,2019.04,금천구,87447
263,2019.04,영등포구,142733
264,2019.04,동작구,106254
265,2019.04,관악구,120797
266,2019.04,서초구,182172
267,2019.04,강남구,234326
268,2019.04,송파구,240968
269,2019.04,강동구,135018
271,2019.05,서울시,3121807
272,2019.05,종로구,50241
273,2019.05,중구,51800
274,2019.05,용산구,77044
275,2019.05,성동구,105348
276,2019.05,광진구,99587
277,2019.05,동대문구,97980
278,2019.05,중랑구,113412
279,2019.05,성북구,117881
280,2019.05,강북구,76693
281,2019.05,도봉구,97120
282,2019.05,노원구,152875
283,2019.05,은평구,130326
284,2019.05,서대문구,87577
285,2019.05,마포구,117656
286,2019.05,양천구,149970
287,2019.05,강서구,203700
288,2019.05,구로구,143952
289,2019.05,금천구,87347
290,2019.05,영등포구,142772
291,2019.05,동작구,106160
292,2019.05,관악구,120725
293,2019.05,서초구,181608
294,2019.05,강남구,234213
295,2019.05,송파구,240790
296,2019.05,강동구,135030
298,2019.06,서울시,3120332
299,2019.06,종로구,50263
300,2019.06,중구,51747
301,2019.06,용산구,76993
302,2019.06,성동구,106073
303,2019.06,광진구,99539
304,2019.06,동대문구,98001
305,2019.06,중랑구,113295
306,2019.06,성북구,118063
307,2019.06,강북구,76559
308,2019.06,도봉구,96873
309,2019.06,노원구,152686
310,2019.06,은평구,130260
311,2019.06,서대문구,87568
312,2019.06,마포구,117664
313,2019.06,양천구,149940
314,2019.06,강서구,203724
315,2019.06,구로구,143864
316,2019.06,금천구,87349
317,2019.06,영등포구,142306
318,2019.06,동작구,106033
319,2019.06,관악구,120611
320,2019.06,서초구,181583
321,2019.06,강남구,233951
322,2019.06,송파구,240441
323,2019.06,강동구,134946
325,2019.07,서울시,3121140
326,2019.07,종로구,50252
327,2019.07,중구,51704
328,2019.07,용산구,76874
329,2019.07,성동구,105976
330,2019.07,광진구,99561
331,2019.07,동대문구,98042
332,2019.07,중랑구,113059
333,2019.07,성북구,118359
334,2019.07,강북구,76450
335,2019.07,도봉구,96856
336,2019.07,노원구,152788
337,2019.07,은평구,130143
338,2019.07,서대문구,87429
339,2019.07,마포구,117661
340,2019.07,양천구,150032
