,연번,역번호,호선,역명,역주소,위도,경도,구별
0,1,150,1,서울역,서울특별시 중구 세종대로 지하 2 (남대문로 5가),126.9725546,37.55715948,중구
1,2,151,1,시청,서울특별시 중구 세종대로 지하 101 (정동),126.9769832,37.56543852,중구
2,3,152,1,종각,서울특별시 종로구 종로 지하 55 (종로1가),126.9832397,37.57021404,종로구
3,4,153,1,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),126.9920293,37.5704266,종로구
4,5,154,1,종로5가,서울특별시 종로구 종로 지하 216  (종로5가),127.0019166,37.57090754,종로구
5,6,155,1,동대문,서울특별시 종로구 종로 지하 302 (창신동),127.0111671,37.57177757,종로구
6,7,156,1,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),127.0247019,37.57531948,동대문구
7,8,157,1,제기동,서울특별시 동대문구 왕산로 지하 93 (제기동),127.0346906,37.57819673,동대문구
8,9,158,1,청량리,서울특별시 동대문구 왕산로 지하 205(전농동),127.0450859,37.58023316,동대문구
9,10,159,1,동묘앞,서울특별시 종로구 종로 359 (숭인동),127.0167512,37.57337221,종로구
10,11,200,2,까치산,서울특별시 강서구 강서로 지하54 (화곡동),126.8466116,37.53195608,강서구
11,12,201,2,시청,서울특별시 중구 세종대로 지하 101 (정동),126.9769832,37.56543852,중구
12,13,202,2,을지로입구,서울특별시 중구 을지로 지하 42 (을지로1가),126.9823729,37.56605095,중구
13,14,203,2,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),126.9903084,37.56626595,중구
14,15,204,2,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),126.9978528,37.56663699,중구
15,16,205,2,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),127.0091315,37.56558952,중구
16,17,206,2,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),127.0195406,37.56565403,중구
17,18,207,2,상왕십리,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),127.0290312,37.56446871,성동구
18,19,208,2,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),127.0366554,37.56122174,성동구
19,20,209,2,한양대,서울특별시 성동구 왕십리로 206 (행당동),127.0435845,37.55557788,성동구
20,21,210,2,뚝섬,서울특별시 성동구 아차산로 18 (성수동1가),127.0473652,37.54718822,성동구
21,22,211,2,성수,서울특별시 성동구 아차산로 100 (성수동2가),127.0560905,37.5445024,성동구
22,23,212,2,건대입구,서울특별시 광진구 아차산로 243 (화양동),127.0691733,37.54041889,광진구
23,24,213,2,구의,서울특별시 광진구 아차산로 384-1 (구의동),127.0861792,37.53715356,광진구
24,25,214,2,강변,서울특별시 광진구 강변역로 53 (구의동),127.0946646,37.53516928,광진구
25,26,215,2,잠실나루,서울특별시 송파구 오금로 20 (신천동),127.1038111,37.52068673,송파구
26,27,216,2,잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동),127.1018579,37.51385928,송파구
27,28,217,2,잠실새내,서울특별시 송파구 올림픽로 지하 140 (잠실동),127.0863739,37.51156721,송파구
28,29,218,2,종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동),127.073356,37.51096927,송파구
29,30,219,2,삼성,서울특별시 강남구 테헤란로 지하 538 (삼성동),127.063073,37.508862,강남구
30,31,220,2,선릉,서울특별시 강남구 테헤란로 지하 340 (삼성동),127.0489425,37.50450288,강남구
31,32,221,2,역삼,서울특별시 강남구 테헤란로 지하 156 (역삼동),127.0366182,37.50071627,강남구
32,33,222,2,강남,서울특별시 강남구 강남대로 지하 396 (역삼동),127.0283079,37.49816465,강남구
33,34,223,2,교대,서울특별시 서초구 서초대로 지하 294 (서초동),127.0141556,37.49357747,서초구
34,35,224,2,서초,서울특별시 서초구 서초대로 지하 233 (서초동),127.0075808,37.491823,서초구
35,36,225,2,방배,서울특별시 서초구 방배로 지하 80 (방배동),126.9976949,37.48143649,서초구
36,37,226,2,사당,서울특별시 동작구 남부순환로 지하 2089 (사당동),126.9814089,37.47652283,동작구
37,38,227,2,낙성대,서울특별시 관악구 남부순환로 지하 1928 (봉천동),126.96341,37.47706518,관악구
38,39,228,2,서울대입구,서울특별시 관악구 남부순환로 지하 1822 (봉천동),126.9526451,37.48115266,관악구
39,40,229,2,봉천,서울특별시 관악구 남부순환로 지하 1721 (봉천동),126.9414953,37.48255622,관악구
40,41,230,2,신림,서울특별시 관악구 남부순환로 지하 1614 (신림동),126.9298033,37.48421761,관악구
41,42,231,2,신대방,서울특별시 동작구 대림로 2 (신대방동),126.9131756,37.48757597,동작구
42,43,232,2,구로디지털단지,서울특별시 구로구 도림천로 477 (구로동),126.9014944,37.48531492,구로구
43,44,233,2,대림,서울 구로구 구로6동 125-66,126.8940628,37.4933116,구로구
44,45,234,2,신도림,서울특별시 구로구 새말로 지하 117-21 (신도림동),126.8910805,37.50877014,구로구
45,46,235,2,문래,서울특별시 영등포구 당산로 지하 28 (문래동3가),126.8947631,37.51792146,영등포구
46,47,236,2,영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가),126.8966269,37.52569966,영등포구
47,48,237,2,당산,서울특별시 영등포구 당산로 229 (당산동 6가),126.9027307,37.53495687,영등포구
48,49,238,2,합정,서울특별시 마포구 양화로 지하 55 (서교동),126.9146382,37.55011521,마포구
49,50,239,2,홍대입구,서울특별시 마포구 양화로 지하160 (동교동),126.9236743,37.55689041,마포구
50,51,240,2,신촌,서울특별시 마포구 신촌로 지하 90 (노고산동),126.9361192,37.55544179,마포구
51,52,241,2,이대,서울특별시 마포구 신촌로 지하 180 (염리동),126.9457582,37.55679801,마포구
52,53,242,2,아현,서울특별시 마포구 신촌로 지하 270 (아현동),126.9560337,37.55735757,마포구
53,54,243,2,충정로,서울특별시 서대문구 서소문로 지하 17 (충정로3가),126.964474,37.5598378,서대문구
54,55,244,2,용답,서울특별시 성동구 용답길 86 (용답동),127.0507293,37.56200491,성동구
55,56,245,2,신답,서울특별시 성동구 천호대로 232 (용답동),127.0468202,37.56999106,성동구
56,57,246,2,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),127.0247019,37.57531948,동대문구
57,58,247,2,도림천,서울특별시 구로구 경인로 67길 160 (신도림동),126.8827026,37.51444205,구로구
58,59,248,2,양천구청,서울특별시 양천구 목동로3길 지하 33(신정동),126.8660652,37.51269894,양천구
59,60,249,2,신정네거리,서울특별시 양천구 중앙로 지하 261 (신정동),126.8529916,37.51979753,양천구
60,61,250,2,용두,서울특별시 동대문구 천호대로 지하 129,127.0380311,37.57393805,동대문구
61,62,309,3,지축,경기도 고양시 덕양구 삼송로 300 (지축동),126.9121678,37.64961807,고양시
62,63,310,3,구파발,서울특별시 은평구 진관2로 지하 15-25 (진관동),126.9187454,37.63684179,은평구
63,64,311,3,연신내,서울특별시 은평구 통일로 지하 849 (갈현동),126.9211621,37.618962,은평구
64,65,312,3,불광,서울특별시 은평구 통일로 지하 723-1 (대조동 / 3호선 불광역),126.9299858,37.61020726,은평구
65,66,313,3,녹번,서울특별시 은평구 통일로 지하 602-1 (녹번동),126.9360194,37.60074218,은평구
66,67,314,3,홍제,서울특별시 서대문구 통일로 지하 440-1 (홍제동),126.9442423,37.58871037,서대문구
67,68,315,3,무악재,서울특별시 서대문구 통일로 지하 361 (홍제동),126.9503221,37.58238415,서대문구
68,69,316,3,독립문,서울특별시 서대문구 통일로 지하 247 (현저동),126.9577503,37.57441036,서대문구
69,70,317,3,경복궁,서울특별시 종로구 사직로 지하 130 (적선동),126.9730627,37.5758613,종로구
70,71,318,3,안국,서울특별시 종로구 율곡로 지하 62 (안국동),126.985823,37.57672037,종로구
71,72,319,3,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),126.9920293,37.5704266,종로구
72,73,320,3,을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가),126.9903084,37.56626595,중구
73,74,321,3,충무로,서울 중구 퇴계로 198,126.9939135,37.56094211,중구
74,75,322,3,동대입구,서울특별시 중구 동호로 지하 256 (장충동2가),127.0054602,37.55903022,중구
75,76,323,3,약수,서울특별시 중구 다산로 지하 122 (신당동),127.0108225,37.55455956,중구
76,77,324,3,금호,서울특별시 성동구 동호로 지하 104 (금호동4가),127.0158938,37.54811252,성동구
77,78,325,3,옥수,서울특별시 성동구 동호로 21 (옥수동) 옥수역,127.01833,37.54104689,성동구
78,79,326,3,압구정,서울특별시 강남구 압구정로 지하 172 (신사동),127.0284809,37.52643082,강남구
79,80,327,3,신사,서울특별시 강남구 도산대로 지하 102 (신사동),127.0203269,37.51643246,강남구
80,81,328,3,잠원,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),127.0112202,37.51279911,서초구
81,82,329,3,고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동),127.0044421,37.50464718,서초구
82,83,330,3,교대,서울특별시 서초구 서초대로 지하 294 (서초동),127.0141556,37.49357747,서초구
83,84,331,3,남부터미널,서울특별시 서초구 서초중앙로 지하 31 (서초동),127.0162071,37.48514017,서초구
84,85,332,3,양재,서울특별시 서초구 남부순환로 지하 2585 (서초동),127.0345442,37.48393473,서초구
85,86,333,3,매봉,서울특별시 강남구 남부순환로 지하 2744 (도곡동),127.0466146,37.48696113,강남구
86,87,334,3,도곡,서울특별시 강남구 남부순환로 지하 2814 (도곡동),127.0553234,37.49086477,강남구
87,88,335,3,대치,서울특별시 강남구 남부순환로 지하 2952 (대치동),127.0634302,37.49456276,강남구
88,89,336,3,학여울,서울특별시 강남구 남부순환로 지하 3104 (대치동),127.071719,37.49671719,강남구
89,90,337,3,대청,서울특별시 강남구 일원로 지하 2 (일원동),127.0794936,37.49372186,강남구
90,91,338,3,일원,서울특별시 강남구 일원로 지하 121 (일원동),127.0844518,37.48407358,강남구
91,92,339,3,수서,서울특별시 강남구 광평로 지하 270 (수서동),127.1018592,37.48738899,강남구
92,93,340,3,가락시장,서울특별시 송파구 송파대로 지하 257 (가락동),127.1184857,37.49274403,송파구
93,94,341,3,경찰병원,서울특별시 송파구 중대로 지하 149 (가락동),127.1240678,37.49560314,송파구
94,95,342,3,오금,서울특별시 송파구 오금로 지하 321 (오금동),127.1278792,37.50226598,송파구
95,96,409,4,당고개,서울특별시 노원구 상계로 305 (상계동),127.0790112,37.67029264,노원구
96,97,410,4,상계,서울특별시 노원구 상계로 182 (상계동),127.0735754,37.66090389,노원구
97,98,411,4,노원,서울특별시 노원구 상계로 69-1 (상계동),127.0630304,37.65626778,노원구
98,99,412,4,창동,서울특별시 도봉구 마들로 11길 77 (창동),127.047715,37.65321748,도봉구
99,100,413,4,쌍문,서울특별시 도봉구 도봉로 지하 486-1 (창동),127.0348807,37.64884986,도봉구
100,101,414,4,수유,서울특별시 강북구 도봉로 지하 50 (미아동),127.0300984,37.61328611,강북구
101,102,415,4,미아,서울특별시 강북구 도봉로 지하 198 (미아동),127.0261034,37.62644364,강북구
102,103,416,4,미아사거리,서울특별시 강북구 도봉로 지하 50 (미아동),127.0300984,37.61328611,강북구
103,104,417,4,길음,서울특별시 성북구 동소문로 지하 248 (길음동),127.0248232,37.60318391,성북구
104,105,418,4,성신여대입구,서울특별시 성북구 동소문로 지하 102 (동선동4가),127.0164776,37.59271793,성북구
105,106,419,4,한성대입구,서울특별시 성북구 삼선교로 지하1 (삼선동1가),127.0059503,37.58839488,성북구
106,107,420,4,혜화,서울특별시 종로구 대학로 지하 120 (동숭동),127.0019784,37.58180362,종로구
107,108,421,4,동대문,서울특별시 종로구 율곡로 308,127.0095466,37.57041171,종로구
108,109,422,4,동대문역사문화공원,서울특별시 중구 장충단로 지하 230 (광희동 2가),127.0075507,37.56507877,중구
109,110,423,4,충무로,서울 중구 퇴계로 198,126.9939135,37.56094211,중구
110,111,424,4,명동,서울특별시 중구 퇴계로 지하 126 (충무로2가),126.985947,37.56091008,중구
111,112,425,4,회현,서울특별시 중구 퇴계로 지하 54 (남창동),126.9782391,37.55853532,중구
112,113,426,4,서울역,서울특별시 용산구 한강대로 지하 392(동자동) ,126.9728055,37.55320002,용산구
113,114,427,4,숙대입구,서울특별시 용산구 한강대로 지하 306,126.9718724,37.54519398,용산구
114,115,428,4,삼각지,서울특별시 용산구 한강대로 지하 180 (한강로1가),126.973011,37.53459371,용산구
115,116,429,4,신용산,서울특별시 용산구 한강대로 지하 112 (한강로2가),126.9682159,37.52961556,용산구
116,117,430,4,이촌,서울특별시 용산구 용산동5가 17,126.9759952,37.52291349,용산구
117,118,431,4,동작,서울특별시 동작구 현충로 257 (동작동),126.9802684,37.50287037,동작구
118,119,432,4,총신대입구,서울특별시 동작구 동작대로 지하 117 (사당동),126.9821997,37.48755383,동작구
119,120,433,4,사당,서울특별시 동작구 동작대로 3(사당동 / 사당역(4호선)),126.9815951,37.47686327,동작구
120,121,434,4,남태령,서울특별시 서초구 과천대로 지하 816 (방배동),126.9886565,37.46485756,서초구
121,122,2511,5,방화,서울특별시 강서구 금낭화로 지하132 (방화동),126.8126299,37.57700311,강서구
122,123,2512,5,개화산,서울특별시 강서구 양천로 22(방화동),126.8060017,37.57227002,강서구
123,124,2513,5,김포공항,서울특별시 강서구 하늘길 지하77 (방화동),126.8015703,37.56214413,강서구
124,125,2514,5,송정,서울특별시 강서구 공항대로 지하33 (공항동),126.8110554,37.56147755,강서구
125,126,2515,5,마곡,서울특별시 강서구 공항대로 지하163 (가양동),126.825548,37.56019845,강서구
126,127,2516,5,발산,서울특별시 강서구 공항대로 지하267 (가양동),126.8373108,37.55902927,강서구
127,128,2517,5,우장산,서울특별시 강서구 강서로 지하262 (화곡동),126.8364089,37.5490002,강서구
128,129,2518,5,화곡,서울특별시 강서구 화곡로 지하168 (화곡동),126.8404965,37.54143362,강서구
129,130,2519,5,까치산,서울특별시 강서구 강서로 지하54(화곡동),126.8466116,37.53195608,강서구
130,131,2520,5,신정,서울특별시 양천구 오목로 지하179 (신정동),126.8572904,37.52521079,양천구
131,132,2521,5,목동,서울특별시 양천구 오목로 지하245 (목동),126.8647426,37.52619868,양천구
132,133,2522,5,오목교,서울특별시 양천구 오목로 지하342 (목동),126.8753546,37.52445007,양천구
133,134,2523,5,양평,서울특별시 영등포구 양산로 지하21 (양평동2가),126.8868657,37.52551169,영등포구
134,135,2524,5,영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가),126.8966269,37.52569966,영등포구
135,136,2525,5,영등포시장,서울특별시 영등포구 양산로 지하200 (영등포동5가),126.9049592,37.52273452,영등포구
136,137,2526,5,신길,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),126.9143369,37.5176677,영등포구
137,138,2527,5,여의도,서울특별시 영등포구 여의나루로 지하40 (여의도동),126.9244847,37.5218423,영등포구
138,139,2528,5,여의나루,서울특별시 영등포구 여의동로 지하343 (여의도동),126.932864,37.52708516,영등포구
139,140,2529,5,마포,서울특별시 마포구 마포대로 지하33 (도화동),126.9459204,37.53958379,마포구
140,141,2530,5,공덕,서울특별시 마포구 마포대로 지하100 (공덕동),126.9513638,37.54452679,마포구
141,142,2531,5,애오개,서울특별시 마포구 마포대로 지하210 (아현동),126.9566133,37.5533624,마포구
142,143,2532,5,충정로,서울특별시 서대문구 충정로 28-1,126.9633733,37.56099344,서대문구
143,144,2533,5,서대문,서울특별시 종로구 통일로 지하126 (평동),126.9666374,37.56585627,종로구
144,145,2534,5,광화문,서울특별시 종로구 세종대로 지하172 (세종로),126.976788,37.57162282,종로구
145,146,2535,5,종로3가,서울특별시 종로구 종로 지하 129 (종로3가),126.9920293,37.5704266,종로구
146,147,2536,5,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),126.9978528,37.56663699,중구
